bit,dia_in,dia_mm
1/64,0.0156,0.3969
1/32,0.0313,0.7938
#60,0.04,1.016
#59,0.041,1.0414
#58,0.042,1.0668
#57,0.043,1.0922
#56,0.046,1.1684
3/64,0.0469,1.1906
#55,0.052,1.3208
#54,0.055,1.397
#53,0.059,1.4986
1/16,0.0625,1.5875
#52,0.063,1.6002
#51,0.067,1.7018
#50,0.07,1.778
#49,0.073,1.8542
#48,0.076,1.9304
#47,0.078,1.9812
5/64,0.0781,1.9844
#46,0.081,2.0574
#45,0.082,2.0828
#44,0.086,2.1844
#43,0.089,2.2606
#42,0.093,2.3622
3/32,0.0938,2.3813
#41,0.096,2.4384
#40,0.098,2.4892
#39,0.099,2.5146
#38,0.101,2.5654
#37,0.104,2.6416
#36,0.106,2.6924
7/64,0.1094,2.7781
#35,0.11,2.794
#34,0.111,2.8194
#33,0.113,2.8702
#32,0.116,2.9464
#31,0.12,3.048
1/8,0.125,3.175
#30,0.128,3.2512
#29,0.136,3.4544
#28,0.14,3.556
9/64,0.1406,3.5719
#27,0.144,3.6576
#26,0.147,3.7338
#25,0.149,3.7846
#24,0.152,3.8608
#23,0.154,3.9116
5/32,0.1563,3.9688
#22,0.157,3.9878
#21,0.159,4.0386
#20,0.161,4.0894
#19,0.166,4.2164
#18,0.169,4.2926
11/64,0.1719,4.3656
#17,0.173,4.3942
#16,0.177,4.4958
#15,0.18,4.572
#14,0.182,4.6228
#13,0.185,4.699
3/16,0.1875,4.7625
#12,0.189,4.8006
#11,0.191,4.8514
#10,0.193,4.9022
#9,0.196,4.9784
#8,0.199,5.0546
#7,0.201,5.2578
13/64,0.2031,5.1594
#6,0.204,5.1816
#5,0.205,5.207
#4,0.209,5.3086
#3,0.213,5.4102
7/32,0.2188,5.5563
#2,0.221,5.6134
#1,0.228,5.7912
15/64,0.2344,5.9531
1/4,0.25,6.35
17/64,0.2656,6.7469
9/32,0.2813,7.1438
19/64,0.2969,7.5406
5/16,0.3125,7.9375
21/64,0.3281,8.3344
11/32,0.3438,8.7313
23/64,0.3594,9.1281
3/8,0.375,9.525
25/64,0.3906,9.9219
13/32,0.4063,10.3188
27/64,0.4219,10.7156
7/16,0.4375,11.1125
29/64,0.4531,11.5094
15/32,0.4688,11.9063
31/64,0.4844,12.3031
1/2,0.5,12.7
33/64,0.5156,13.0969
17/32,0.5313,13.4938
35/64,0.5469,13.8906
9/16,0.5625,14.2875
37/64,0.5781,14.6844
19/32,0.5938,15.0813
39/64,0.6094,15.4781
5/8,0.625,15.875
41/64,0.6406,16.2719
43/64,0.6719,17.0656
11/16,0.6875,17.4625
45/64,0.7031,17.8594
23/32,0.7188,18.2563
47/64,0.7344,18.6531
3/4,0.75,19.05
49/64,0.7656,19.4469
25/32,0.7813,19.8438
51/64,0.7969,20.2406
13/16,0.8125,20.6375
53/64,0.8281,21.0344
27/32,0.8438,21.4313
55/64,0.8594,21.8281
7/8,0.875,22.225
57/64,0.8906,22.6219
29/32,0.9063,23.0188
21/23,0.913,23.1913
59/64,0.9219,23.4156
15/16,0.9375,23.8125
61/64,0.9531,24.2094
31/32,0.9688,24.6063
63/64,0.9844,25.0031
1,1.0,25.4
1 1/64,1.0156,25.7969
1 1/32,1.0313,26.1938
1 3/64,1.0469,26.5906
1 1/16,1.0625,26.9875
1 5/64,1.0781,27.3844
1 3/32,1.0938,27.7813
1 7/64,1.1094,28.1781
1 1/8,1.125,28.575
1 9/64,1.1406,28.9719
1 5/32,1.1563,29.3688
1 11/64,1.1719,29.7656
1 3/16,1.1875,30.1625
1 13/64,1.2031,30.5594
1 7/32,1.2188,30.9563
1 15/64,1.2344,31.3531
1 1/4,1.25,31.75
1 17/64,1.2656,32.1469
1 9/32,1.2813,32.5438
1 19/64,1.2969,32.9406
1 5/16,1.3125,33.3375
1 21/64,1.3281,33.7344
1 11/32,1.3438,34.1313
1 23/64,1.3594,34.5281
1 3/8,1.375,34.925
1 25/64,1.3906,35.3219
1 13/32,1.4063,35.7188
1 27/64,1.4219,36.1156
1 7/16,1.4375,36.5125
1 29/64,1.4531,36.9094
1 15/32,1.4688,37.3063
1 31/64,1.4844,37.7031
1 1/2,1.5,38.1
